signal_id,signal_timestamp,F_gt_score,F_final_score,F_s6_bought,F_signal_mc,F_tel_mc,F_tel_age_min,F_tel_holders,F_tel_top10,F_tel_bundled,F_tel_jeeters,F_tel_snipers,F_tel_dev,F_tel_safe,t0_snapshot_lag_s,F_t0_snap_mc,F_t0_snap_price,F_t0_snap_liq,F_t0_snap_vol,F_t0_snap_buys,F_t0_snap_sells,F_t0_snap_health,F_snap_0s_mc,F_snap_0s_price,F_snap_0s_liq,F_snap_0s_vol,F_snap_0s_buys,F_snap_0s_sells,F_snap_0s_health,F_snap_0s_ret,F_snap_30s_mc,F_snap_30s_price,F_snap_30s_liq,F_snap_30s_vol,F_snap_30s_buys,F_snap_30s_sells,F_snap_30s_health,F_snap_30s_ret,F_snap_60s_mc,F_snap_60s_price,F_snap_60s_liq,F_snap_60s_vol,F_snap_60s_buys,F_snap_60s_sells,F_snap_60s_health,F_snap_60s_ret,F_snap_180s_mc,F_snap_180s_price,F_snap_180s_liq,F_snap_180s_vol,F_snap_180s_buys,F_snap_180s_sells,F_snap_180s_health,F_snap_180s_ret,F_snap_300s_mc,F_snap_300s_price,F_snap_300s_liq,F_snap_300s_vol,F_snap_300s_buys,F_snap_300s_sells,F_snap_300s_health,F_snap_300s_ret,F_snap_600s_mc,F_snap_600s_price,F_snap_600s_liq,F_snap_600s_vol,F_snap_600s_buys,F_snap_600s_sells,F_snap_600s_health,F_snap_600s_ret,F_snap_900s_mc,F_snap_900s_price,F_snap_900s_liq,F_snap_900s_vol,F_snap_900s_buys,F_snap_900s_sells,F_snap_900s_health,F_snap_900s_ret,F_snap_1800s_mc,F_snap_1800s_price,F_snap_1800s_liq,F_snap_1800s_vol,F_snap_1800s_buys,F_snap_1800s_sells,F_snap_1800s_health,F_snap_1800s_ret,F_snap_3600s_mc,F_snap_3600s_price,F_snap_3600s_liq,F_snap_3600s_vol,F_snap_3600s_buys,F_snap_3600s_sells,F_snap_3600s_health,F_snap_3600s_ret,t0_intel_lag_s,F_t0_intel_bs_ratio,F_t0_intel_sent,F_t0_intel_mc_vel,F_t0_intel_vol_vel,F_intel_0s_bs_ratio,F_intel_0s_sent,F_intel_0s_mc_vel,F_intel_0s_vol_vel,F_intel_30s_bs_ratio,F_intel_30s_sent,F_intel_30s_mc_vel,F_intel_30s_vol_vel,F_intel_60s_bs_ratio,F_intel_60s_sent,F_intel_60s_mc_vel,F_intel_60s_vol_vel,F_intel_180s_bs_ratio,F_intel_180s_sent,F_intel_180s_mc_vel,F_intel_180s_vol_vel,F_intel_300s_bs_ratio,F_intel_300s_sent,F_intel_300s_mc_vel,F_intel_300s_vol_vel,F_intel_600s_bs_ratio,F_intel_600s_sent,F_intel_600s_mc_vel,F_intel_600s_vol_vel,F_intel_900s_bs_ratio,F_intel_900s_sent,F_intel_900s_mc_vel,F_intel_900s_vol_vel,F_intel_1800s_bs_ratio,F_intel_1800s_sent,F_intel_1800s_mc_vel,F_intel_1800s_vol_vel,F_intel_3600s_bs_ratio,F_intel_3600s_sent,F_intel_3600s_mc_vel,F_intel_3600s_vol_vel,T_positive_return,T_reached_2x,T_reached_5x,T_reached_10x,T_rugged,T_severe_drawdown,T_log_max_return,T_raw_max_return,split
b962e72f-9f13-4f69-8030-426f7ba1eca5,1785959596.583051,2.0,62.0,0.0,33100.0,33100.0,40.0,227.0,30.0,6.0,14.0,0.0,0.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0.5565900670188857,74.47129909365559,TRAIN
726a915e-96cc-4b0a-b11e-bb8564314d0b,1785960196.614594,2.0,64.0,0.0,36600.0,36600.0,4.0,433.0,21.0,7.0,15.0,0.0,0.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0.07852832071071869,8.169398907103826,TRAIN
90670ed6-e50e-41f0-8535-557410af3cfd,1785960496.780613,2.0,63.0,0.0,35300.0,35300.0,1.0,319.0,20.0,27.0,19.0,0.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,2.563889742007128,1198.6232294617564,TRAIN
b0bd714e-4bb5-4472-823c-81787fceffe7,1785961763.723296,3.0,78.0,0.0,57600.0,57600.0,1.0,525.0,17.0,4.0,5.8,0.0,0.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0.6428676265499076,90.19270833333334,TRAIN
fbbb62e0-33cd-4d2c-b7c7-2a735fbfbea8,1785962098.207731,2.0,62.0,0.0,34600.0,34600.0,4.0,246.0,23.0,6.0,15.0,0.0,0.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0.030624511740282363,3.1098265895953756,TRAIN
4d824328-0b1d-46d0-a188-a26f843372b4,1786038835.179349,2.0,61.0,0.0,38900.0,38900.0,38.0,324.0,20.0,9.0,14.0,3.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3.6279580337584574,3663.5886889460153,TRAIN
6f0b6d9d-b916-44d2-af04-484d0a3c517f,1786040396.033934,2.0,69.0,0.0,30700.0,30700.0,120.0,396.0,20.0,8.0,7.1,0.0,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0.4439756384639727,55.88925081433225,TRAIN
bc0829f3-0787-434f-ac8f-32b8ebe55b54,1786049069.897211,2.0,65.0,0.0,33200.0,33200.0,2.0,322.0,21.0,5.0,8.4,4.0,0.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0.0,0.0,TRAIN
56388a7d-5bbc-4c9c-ae71-ee4797ed336e,1786049249.195509,2.0,61.0,0.0,34800.0,34800.0,480.0,318.0,23.0,11.0,14.0,0.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0.5964653708460864,81.56896551724138,TRAIN
81c74147-065e-4d3b-acc5-a1acffba0f64,1786049536.224919,2.0,59.0,0.0,36000.0,36000.0,3.0,287.0,22.0,14.0,20.0,0.0,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0.0,0.0,TRAIN
